gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,Charges_Per_Tenure,TotalCharges
Female,0,No,1,No,No,DSL,Month-to-month,29.85,No,14.925,29.85
Male,0,No,34,Yes,No,DSL,One year,56.95,No,1.6271428571428572,1936.3000000000002
Male,0,No,2,Yes,No,DSL,Month-to-month,53.85,Yes,17.95,107.7
Male,0,No,45,No,No,DSL,One year,42.3,No,0.9195652173913043,1903.4999999999998
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,70.7,Yes,23.566666666666666,141.4
Female,0,No,8,Yes,Yes,Fiber optic,Month-to-month,99.65,Yes,11.072222222222223,797.2
Male,0,Yes,22,Yes,Yes,Fiber optic,Month-to-month,89.1,No,3.8739130434782605,1960.1999999999998
Female,0,No,10,No,No,DSL,Month-to-month,29.75,No,2.7045454545454546,297.5
Female,0,No,28,Yes,Yes,Fiber optic,Month-to-month,104.8,Yes,3.613793103448276,2934.4
Male,0,Yes,62,Yes,No,DSL,One year,56.15,No,0.8912698412698412,3481.2999999999997
Male,0,Yes,13,Yes,No,DSL,Month-to-month,49.95,No,3.567857142857143,649.35
Male,0,No,16,Yes,No,DSL,Two year,18.95,No,1.1147058823529412,303.2
Male,0,No,58,Yes,Yes,Fiber optic,One year,100.35,No,1.7008474576271186,5820.299999999999
Male,0,No,49,Yes,Yes,Fiber optic,Month-to-month,103.7,Yes,2.074,5081.3
Male,0,No,25,Yes,No,Fiber optic,Month-to-month,105.5,No,4.0576923076923075,2637.5
Female,0,Yes,69,Yes,Yes,Fiber optic,Two year,113.25,No,1.6178571428571429,7814.25
Female,0,No,52,Yes,No,DSL,One year,20.65,No,0.38962264150943393,1073.8
Male,0,Yes,71,Yes,Yes,Fiber optic,Two year,106.7,No,1.4819444444444445,7575.7
Female,0,Yes,10,Yes,No,DSL,Month-to-month,55.2,Yes,5.0181818181818185,552.0
Female,0,No,21,Yes,No,Fiber optic,Month-to-month,90.05,No,4.093181818181818,1891.05
Male,1,No,1,No,No,DSL,Month-to-month,39.65,Yes,19.825,39.65
Male,0,No,12,Yes,No,DSL,One year,19.8,No,1.5230769230769232,237.60000000000002
Male,0,No,1,Yes,No,DSL,Month-to-month,20.15,Yes,10.075,20.15
Female,0,No,58,Yes,Yes,DSL,Two year,59.9,No,1.0152542372881355,3474.2
Male,0,Yes,49,Yes,No,DSL,Month-to-month,59.6,No,1.192,2920.4
Female,0,No,30,Yes,No,DSL,Month-to-month,55.3,No,1.7838709677419353,1659.0
Male,0,Yes,47,Yes,Yes,Fiber optic,Month-to-month,99.35,Yes,2.0697916666666667,4669.45
Male,0,Yes,1,No,No,DSL,Month-to-month,30.2,Yes,15.1,30.2
Male,0,No,72,Yes,Yes,DSL,Two year,90.25,No,1.2363013698630136,6498.0
Female,0,Yes,17,Yes,No,DSL,Month-to-month,64.7,Yes,3.5944444444444446,1099.9
Female,1,No,71,Yes,Yes,Fiber optic,Two year,96.35,No,1.3381944444444445,6840.849999999999
Male,1,No,2,Yes,No,Fiber optic,Month-to-month,95.5,No,31.833333333333332,191.0
Female,0,Yes,27,Yes,No,DSL,One year,66.15,No,2.3625000000000003,1786.0500000000002
Male,0,No,1,Yes,No,DSL,Month-to-month,20.2,No,10.1,20.2
Male,1,No,1,Yes,No,DSL,Month-to-month,45.25,No,22.625,45.25
Female,0,Yes,72,Yes,Yes,Fiber optic,Two year,99.9,No,1.3684931506849316,7192.8
Male,0,No,5,Yes,No,Fiber optic,Month-to-month,69.7,Yes,11.616666666666667,348.5
Female,0,No,46,Yes,No,Fiber optic,Month-to-month,74.8,No,1.5914893617021275,3440.7999999999997
Male,0,No,34,Yes,Yes,Fiber optic,Month-to-month,106.35,Yes,3.0385714285714283,3615.8999999999996
Female,0,No,11,Yes,Yes,Fiber optic,Month-to-month,97.85,Yes,8.154166666666667,1076.35
Male,0,Yes,10,Yes,No,DSL,One year,49.55,No,4.504545454545454,495.5
Female,0,Yes,70,Yes,Yes,DSL,Two year,69.2,No,0.9746478873239437,4844.0
Female,0,Yes,17,Yes,No,DSL,One year,20.75,No,1.1527777777777777,352.75
Female,0,No,63,Yes,Yes,DSL,Two year,79.85,No,1.24765625,5030.549999999999
Female,0,No,13,Yes,Yes,DSL,Month-to-month,76.2,No,5.442857142857143,990.6
Female,0,No,49,Yes,Yes,Fiber optic,Month-to-month,84.5,No,1.69,4140.5
Male,0,No,2,Yes,No,DSL,Month-to-month,49.25,No,16.416666666666668,98.5
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,80.65,Yes,26.883333333333336,161.3
Male,0,No,52,Yes,Yes,DSL,Two year,79.75,No,1.5047169811320755,4147.0
Female,0,Yes,69,Yes,Yes,DSL,Two year,64.15,No,0.9164285714285715,4426.35
Female,1,No,43,Yes,Yes,Fiber optic,Month-to-month,90.25,No,2.0511363636363638,3880.75
Female,0,No,15,Yes,No,Fiber optic,Month-to-month,99.1,Yes,6.19375,1486.5
Female,1,No,25,Yes,Yes,DSL,Month-to-month,69.5,No,2.673076923076923,1737.5
Female,1,No,8,Yes,Yes,Fiber optic,Month-to-month,80.65,Yes,8.961111111111112,645.2
Female,1,Yes,60,Yes,No,DSL,One year,74.85,No,1.2270491803278687,4491.0
Male,1,No,18,Yes,Yes,Fiber optic,Month-to-month,95.45,Yes,5.023684210526316,1718.1000000000001
Female,0,Yes,63,Yes,Yes,Fiber optic,One year,99.65,No,1.55703125,6277.950000000001
Male,1,Yes,66,Yes,Yes,Fiber optic,One year,108.45,No,1.6186567164179104,7157.7
Female,0,Yes,34,Yes,Yes,DSL,Two year,24.95,No,0.7128571428571429,848.3
Female,0,No,72,Yes,Yes,Fiber optic,Two year,107.5,No,1.4726027397260273,7740.0
Female,0,No,47,Yes,Yes,Fiber optic,Month-to-month,100.5,No,2.09375,4723.5
Male,0,No,60,Yes,Yes,Fiber optic,Month-to-month,89.9,No,1.4737704918032788,5394.0
Male,0,No,72,No,No,DSL,Two year,42.1,No,0.5767123287671233,3031.2000000000003
Female,0,Yes,18,Yes,No,DSL,One year,54.4,No,2.863157894736842,979.1999999999999
