gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn
Female,0,No,1,No,No,DSL,Month-to-month,29.85,No
Male,0,No,34,Yes,No,DSL,One year,56.95,No
Male,0,No,2,Yes,No,DSL,Month-to-month,53.85,Yes
Male,0,No,45,No,No,DSL,One year,42.3,No
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,70.7,Yes
Female,0,No,8,Yes,Yes,Fiber optic,Month-to-month,99.65,Yes
Male,0,Yes,22,Yes,Yes,Fiber optic,Month-to-month,89.1,No
Female,0,No,10,No,No,DSL,Month-to-month,29.75,No
Female,0,No,28,Yes,Yes,Fiber optic,Month-to-month,104.8,Yes
Male,0,Yes,62,Yes,No,DSL,One year,56.15,No
Male,0,Yes,13,Yes,No,DSL,Month-to-month,49.95,No
Male,0,No,16,Yes,No,DSL,Two year,18.95,No
Male,0,No,58,Yes,Yes,Fiber optic,One year,100.35,No
Male,0,No,49,Yes,Yes,Fiber optic,Month-to-month,103.7,Yes
Male,0,No,25,Yes,No,Fiber optic,Month-to-month,105.5,No
Female,0,Yes,69,Yes,Yes,Fiber optic,Two year,113.25,No
Female,0,No,52,Yes,No,DSL,One year,20.65,No
Male,0,Yes,71,Yes,Yes,Fiber optic,Two year,106.7,No
Female,0,Yes,10,Yes,No,DSL,Month-to-month,55.2,Yes
Female,0,No,21,Yes,No,Fiber optic,Month-to-month,90.05,No
Male,1,No,1,No,No,DSL,Month-to-month,39.65,Yes
Male,0,No,12,Yes,No,DSL,One year,19.8,No
Male,0,No,1,Yes,No,DSL,Month-to-month,20.15,Yes
Female,0,No,58,Yes,Yes,DSL,Two year,59.9,No
Male,0,Yes,49,Yes,No,DSL,Month-to-month,59.6,No
Female,0,No,30,Yes,No,DSL,Month-to-month,55.3,No
Male,0,Yes,47,Yes,Yes,Fiber optic,Month-to-month,99.35,Yes
Male,0,Yes,1,No,No,DSL,Month-to-month,30.2,Yes
Male,0,No,72,Yes,Yes,DSL,Two year,90.25,No
Female,0,Yes,17,Yes,No,DSL,Month-to-month,64.7,Yes
Female,1,No,71,Yes,Yes,Fiber optic,Two year,96.35,No
Male,1,No,2,Yes,No,Fiber optic,Month-to-month,95.5,No
Female,0,Yes,27,Yes,No,DSL,One year,66.15,No
Male,0,No,1,Yes,No,DSL,Month-to-month,20.2,No
Male,1,No,1,Yes,No,DSL,Month-to-month,45.25,No
Female,0,Yes,72,Yes,Yes,Fiber optic,Two year,99.9,No
Male,0,No,5,Yes,No,Fiber optic,Month-to-month,69.7,Yes
Female,0,No,46,Yes,No,Fiber optic,Month-to-month,74.8,No
Male,0,No,34,Yes,Yes,Fiber optic,Month-to-month,106.35,Yes
Female,0,No,11,Yes,Yes,Fiber optic,Month-to-month,97.85,Yes
Male,0,Yes,10,Yes,No,DSL,One year,49.55,No
Female,0,Yes,70,Yes,Yes,DSL,Two year,69.2,No
Female,0,Yes,17,Yes,No,DSL,One year,20.75,No
Female,0,No,63,Yes,Yes,DSL,Two year,79.85,No
Female,0,No,13,Yes,Yes,DSL,Month-to-month,76.2,No
Female,0,No,49,Yes,Yes,Fiber optic,Month-to-month,84.5,No
Male,0,No,2,Yes,No,DSL,Month-to-month,49.25,No
Female,0,No,2,Yes,No,Fiber optic,Month-to-month,80.65,Yes
Male,0,No,52,Yes,Yes,DSL,Two year,79.75,No
Female,0,Yes,69,Yes,Yes,DSL,Two year,64.15,No
Female,1,No,43,Yes,Yes,Fiber optic,Month-to-month,90.25,No
Female,0,No,15,Yes,No,Fiber optic,Month-to-month,99.1,Yes
Female,1,No,25,Yes,Yes,DSL,Month-to-month,69.5,No
Female,1,No,8,Yes,Yes,Fiber optic,Month-to-month,80.65,Yes
Female,1,Yes,60,Yes,No,DSL,One year,74.85,No
Male,1,No,18,Yes,Yes,Fiber optic,Month-to-month,95.45,Yes
